ts,coin,label,mid_price
2026-07-09T19:39:54.575646+00:00,#7610,France,0.77475
2026-07-09T19:39:54.575646+00:00,#7611,Morocco,0.22525
2026-07-09T19:39:54.575646+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:39:54.575646+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:39:54.575646+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:39:54.575646+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:03.148938+00:00,#7610,France,0.774765
2026-07-09T19:40:03.148938+00:00,#7611,Morocco,0.225235
2026-07-09T19:40:03.148938+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:03.148938+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:03.148938+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:03.148938+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:08.665728+00:00,#7610,France,0.774765
2026-07-09T19:40:08.665728+00:00,#7611,Morocco,0.225235
2026-07-09T19:40:08.665728+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:08.665728+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:08.665728+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:08.665728+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:11.473240+00:00,#7610,France,0.77475
2026-07-09T19:40:11.473240+00:00,#7611,Morocco,0.22525
2026-07-09T19:40:11.473240+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:11.473240+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:11.473240+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:11.473240+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:13.401358+00:00,#7610,France,0.77475
2026-07-09T19:40:13.401358+00:00,#7611,Morocco,0.22525
2026-07-09T19:40:13.401358+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:13.401358+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:13.401358+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:13.401358+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:18.423608+00:00,#7610,France,0.77475
2026-07-09T19:40:18.423608+00:00,#7611,Morocco,0.22525
2026-07-09T19:40:18.423608+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:18.423608+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:18.423608+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:18.423608+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:23.582262+00:00,#7610,France,0.77475
2026-07-09T19:40:23.582262+00:00,#7611,Morocco,0.22525
2026-07-09T19:40:23.582262+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:23.582262+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:23.582262+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:23.582262+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:28.400950+00:00,#7610,France,0.77475
2026-07-09T19:40:28.400950+00:00,#7611,Morocco,0.22525
2026-07-09T19:40:28.400950+00:00,#1890,france_champion_yes,0.32307
